date,Station_No,PM2.5,TSP,O3,CO,NO2,SO2,Temperature,Humidity
24-02-2021 16:00,1,15.32,32.48833333,56.37081667,1467.262,102.9767667,355.8833333,25.78,61.42666667
24-02-2021 16:00,2,14.02666667,28.44333333,62.94686667,0.0,52.5078,323.1333333,25.92166667,62.03333333
24-02-2021 16:00,3,13.33666667,27.41166667,72.72915,1135.304,66.5287,359.8133333,26.21833333,60.26166667
24-02-2021 16:00,4,13.01166667,25.27166667,36.9044,1150.966,44.19563333,289.0733333,26.19333333,60.94333333
24-02-2021 16:00,5,14.40166667,27.62333333,47.112,1260.409,45.13663333,275.9733333,26.07166667,60.89333333
24-02-2021 16:00,6,14.38181818,27.24545455,49.61036364,1243.41,92.47463636,327.5,25.72727273,62.8
24-02-2021 17:00,1,20.24666667,45.67333333,88.95661667,1020.131,125.1843667,347.5866667,27.42166667,63.38
24-02-2021 17:00,2,18.8,43.32833333,77.9311,0.0,63.95663333,330.9933333,27.565,64.32166667
24-02-2021 17:00,3,17.70833333,39.77833333,65.1716,829.131,76.37783333,312.2166667,28.005,62.03666667
24-02-2021 17:00,4,17.60666667,38.55833333,47.14471667,876.881,55.92676667,295.6233333,27.48666667,64.055
24-02-2021 17:00,5,18.00333333,38.075,60.68941667,1002.368,54.4839,291.2566667,27.64,63.25
24-02-2021 17:00,6,15.22,30.54,59.2826,1155.168,106.8976,324.88,26.7,62.1
05-03-2021 10:00,1,20.72166667,45.66,46.81755,492.398,54.26433333,230.56,28.145,51.85
05-03-2021 10:00,2,19.54166667,42.26833333,36.02105,0.0,22.4899,330.5566667,28.30833333,51.835
05-03-2021 10:00,3,18.02666667,39.24833333,24.50478333,483.612,27.0067,261.1266667,28.59333333,50.67666667
05-03-2021 10:00,4,16.735,34.245,9.553266667,502.712,16.21656667,245.4066667,28.29833333,51.94166667
05-03-2021 10:00,5,18.425,36.85666667,16.62006667,437.581,19.60416667,275.5366667,28.78166667,50.23833333
05-03-2021 10:00,6,11.18695652,31.43478261,2.645782609,1450.935652,39.44017391,519.4434783,25.66956522,48.92608696
05-03-2021 11:00,1,28.44666667,62.36333333,68.01795,1236.152,99.77736667,266.3666667,26.94166667,57.79833333
05-03-2021 11:00,2,26.73833333,57.54166667,67.26546667,0.0,47.95963333,289.51,27.09333333,57.64
05-03-2021 11:00,3,24.65833333,53.23333333,49.33673333,981.931,51.50406667,239.2933333,27.22833333,56.925
05-03-2021 11:00,4,22.62833333,47.12166667,32.42221667,981.358,39.08286667,239.73,27.21833333,57.3
05-03-2021 11:00,5,25.02166667,51.05333333,43.25143333,868.095,41.2158,259.8166667,27.37,56.54166667
05-03-2021 11:00,6,10.45625,23.18125,0.8588125,1120.93125,31.75875,379.9,24.43125,46.21875
05-03-2021 14:00,1,16.40333333,34.555,60.39496667,890.442,88.8304,292.5666667,27.16833333,57.28333333
05-03-2021 14:00,2,15.25166667,30.56833333,61.96536667,0.0,48.02236667,314.4,27.38166667,56.92333333
05-03-2021 14:00,3,14.26333333,29.155,46.85026667,744.327,51.53543333,264.62,27.41166667,56.54166667
05-03-2021 14:00,4,12.48333333,23.425,26.40235,753.304,37.8282,263.31,27.56166667,56.40333333
05-03-2021 14:00,5,15.82666667,29.65166667,39.58716667,684.735,39.4279,284.7066667,27.62,55.93833333
05-03-2021 14:00,6,8.946666667,20.82,8.768066667,11551.68,27.22626667,379.9,22.47333333,44.65333333
05-03-2021 15:00,1,18.12833333,40.08166667,61.0493,1008.289,91.43383333,295.6233333,27.16833333,57.88833333
05-03-2021 15:00,2,18.04,38.215,64.05923333,0.0,48.7438,314.4,27.46666667,57.435
05-03-2021 15:00,3,15.83166667,34.02166667,47.8972,836.771,51.59816667,266.3666667,27.445,57.055
05-03-2021 15:00,4,14.97833333,30.115,26.66408333,821.109,37.8282,262.0,27.60833333,57.01
